anio,prct_Total,prct_Hombres,prct_Mujeres,fecha
2003,18.5,3.7,14.8,2003-01-01
2004,18.1,3.7,14.4,2004-01-01
2005,18.6,3.9,14.8,2005-01-01
2006,18.1,3.8,14.2,2006-01-01
2007,18.6,4.0,14.6,2007-01-01
2008,18.6,4.1,14.5,2008-01-01
2009,18.7,4.2,14.5,2009-01-01
2010,19.0,4.4,14.6,2010-01-01
2011,19.5,4.5,15.0,2011-01-01
2012,20.0,4.7,15.3,2012-01-01
2013,21.2,5.0,16.2,2013-01-01
2014,21.1,5.1,16.0,2014-01-01
2015,21.1,5.2,15.9,2015-01-01
2016,21.2,5.3,15.8,2016-01-01
2017,20.9,5.3,15.6,2017-01-01
2018,21.0,5.4,15.6,2018-01-01
2019,21.7,5.7,16.0,2019-01-01
2020,26.1,6.9,19.2,2020-01-01
2021,24.7,6.7,18.0,2021-01-01
2022,25.2,7.0,18.2,2022-01-01
2023,26.3,7.5,18.8,2023-01-01
